requirement_id,title,description,criticality,source
REQ-001,Emergency braking distance,"The braking system shall stop the train within 800 m when the emergency brake is applied at 160 km/h on dry track. Acceptance: Given speed = 160 km/h and emergency brake applied on dry track, then stopping distance <= 800 m in 10 consecutive runs.",HIGH,Stakeholder
REQ-002,HMI status display clarity,The HMI should display the status quickly and clearly for the driver. Acceptance: (missing),MEDIUM,System Engineering
REQ-003,Infusion accuracy at 5 mL/h,"The infusion pump shall deliver 5 mL/h ± 5% for flow rates between 1 mL/h and 10 mL/h at 23°C with saline. Acceptance: Given setpoint = 5 mL/h, temperature = 23°C, fluid = saline, then measured average flow is within ±5% over 60 minutes.",HIGH,Regulatory
REQ-004,UDS diagnostic information availability,"The ECU shall provide diagnostic information if needed. Acceptance: Diagnostic information includes DTC code, timestamp, and current operating mode available via UDS service 0x19 within 2 seconds after request.",LOW,Development
REQ-005,Navigation accuracy in nominal operation,The navigation solution shall have high accuracy during normal operation. Acceptance: Accuracy shall be acceptable.,HIGH,System Engineering
REQ-006,Navigation position error bound,"The navigation solution shall provide position error <= 10 m (95th percentile) in nominal flight conditions. Acceptance: Using reference trajectory, computed horizontal position error <= 10 m for at least 95% of samples over a 30-minute nominal flight profile.",HIGH,System Engineering
REQ-007,Prevent unauthorized admin access,The system shall prevent unauthorized access to admin functions. Acceptance: Role-based access control is implemented.,HIGH,Regulatory
REQ-008,RBAC enforced + logging,"The system shall enforce RBAC such that only ADMIN role can access admin APIs, and all denied attempts are logged with user_id, timestamp and source IP. Acceptance: Attempt admin API with roles USER/OPERATOR: access denied (HTTP 403). Attempt with ADMIN: access granted. Verify log entry contains user_id, timestamp, source IP for each denied attempt.",HIGH,Regulatory
REQ-009,Wayside message latency nominal,"The onboard unit shall exchange messages with wayside within 200 ms. Acceptance: Under nominal radio conditions (defined in test plan), end-to-end message latency <= 200 ms for 99% of 10,000 messages.",MEDIUM,System Engineering
REQ-010,Wayside latency all conditions,The onboard unit shall exchange messages with wayside within 200 ms in all conditions. Acceptance: Latency <= 200 ms in all conditions.,MEDIUM,System Engineering
REQ-011,Audible alarm on occlusion,"The device shall raise an audible alarm when occlusion is detected. Acceptance: When occlusion is detected, alarm is audible.",HIGH,Regulatory
REQ-012,Alarm timing + SPL,"The device shall raise an audible alarm within 2 seconds of occlusion detection, with sound pressure level >= 60 dBA at 1 meter. Acceptance: Trigger occlusion event verify alarm starts <= 2 s and SPL >= 60 dBA at 1 m in quiet room per test protocol.",HIGH,Regulatory
REQ-013,Store at least 50 DTCs,"The ECU shall store at least 50 DTCs. Acceptance: Using UDS, create DTC entries verify ECU stores >= 50 distinct DTCs and returns them via service 0x19.",MEDIUM,Development
REQ-014,DTC storage reliability,The ECU shall store DTCs reliably. Acceptance: DTCs shall not be lost.,MEDIUM,Development
REQ-015,Modem throughput 20 Mbps,"The modem shall support data rate up to 20 Mbps. Acceptance: With signal conditions per nominal spec, measured throughput >= 20 Mbps for at least 60 seconds.",HIGH,System Engineering
REQ-016,Throughput with low jitter,The modem shall support data rate up to 20 Mbps with low jitter. Acceptance: Throughput >= 20 Mbps and jitter is low.,HIGH,System Engineering
REQ-017,Field update capability,The software shall be updatable in the field. Acceptance: Update mechanism exists.,HIGH,System Engineering
REQ-018,OTA update with rollback,"The software shall support OTA update with rollback such that if update fails, system returns to previous version within 5 minutes without loss of configuration. Acceptance: Force update failure verify rollback completes <= 5 min and configuration checksum unchanged.",HIGH,System Engineering
REQ-019,System safety goal,The system shall be safe. Acceptance: Complies with safety standards.,HIGH,Regulatory
REQ-020,EN 50128 evidence package,"The system shall demonstrate compliance with EN 50128 with evidence package including requirements, traceability, tests, and safety case artifacts. Acceptance: Evidence package is produced and reviewed with zero major non-conformities in internal audit checklist.",HIGH,Regulatory
